number_of_dice,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,0.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.55555556,0.11111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.7037037,0.25925926,0.03703704,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.80246914,0.40740741,0.11111111,0.01234568,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.86831276,0.53909465,0.20987654,0.04526749,0.00411523,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.9122085,0.64883402,0.31961591,0.10013717,0.01783265,0.00137174,,,,,,,,,,,,,,,,,,,,,,,,
7,0.94147234,0.73662551,0.42935528,0.17329675,0.04526749,0.00685871,0.00045725,,,,,,,,,,,,,,,,,,,,,,,
8,0.96098156,0.80490779,0.53177869,0.2586496,0.08794391,0.01966164,0.00259107,0.00015242,,,,,,,,,,,,,,,,,,,,,,
9,0.97398771,0.85693238,0.62282172,0.34969263,0.14484581,0.04242239,0.00828126,0.0009653,5.081e-05,,,,,,,,,,,,,,,,,,,,,
10,0.98265847,0.89595082,0.70085861,0.44073566,0.21312808,0.07656353,0.01966164,0.00340395,0.00035564,1.694e-05,,,,,,,,,,,,,,,,,,,,
11,0.98843898,0.92485337,0.76588935,0.52744331,0.28899727,0.12208505,0.03862894,0.00882318,0.00137174,0.00012984,5.65e-06,,,,,,,,,,,,,,,,,,,
12,0.99229265,0.94604857,0.81887735,0.60692532,0.36847929,0.17772246,0.06644764,0.01875843,0.00385555,0.0005438,4.704e-05,1.88e-06,,,,,,,,,,,,,,,,,,
13,0.99486177,0.96146327,0.86126776,0.677576,0.4479613,0.24130807,0.10353925,0.03465483,0.00882318,0.00164772,0.00021263,1.694e-05,6.3e-07,,,,,,,,,,,,,,,,,
14,0.99657451,0.9725961,0.89466626,0.73880659,0.52449953,0.31019248,0.14946219,0.0576163,0.01743373,0.00403954,0.00069099,8.217e-05,6.06e-06,2.1e-07,,,,,,,,,,,,,,,,
15,0.99771634,0.9805889,0.92064288,0.79075981,0.59593522,0.38162816,0.20303895,0.0882316,0.03082792,0.00850427,0.00180718,0.00028511,3.143e-05,2.16e-06,7e-08,,,,,,,,,,,,,,,
16,0.99847756,0.98629805,0.94062489,0.83405417,0.66087675,0.45306385,0.26256869,0.12650072,0.04996248,0.01594549,0.00403954,0.00079246,0.00011599,1.192e-05,7.7e-07,2e-08,,,,,,,,,,,,,,
17,0.99898504,0.99035789,0.95584927,0.86957774,0.71860255,0.52233481,0.32606707,0.17185671,0.07547523,0.02728449,0.00800819,0.00187482,0.00034148,4.661e-05,4.48e-06,2.7e-07,1e-08,,,,,,,,,,,,,
18,0.99932336,0.99323361,0.96735214,0.89833492,0.76892762,0.58775739,0.39148965,0.22326016,0.10760239,0.04334807,0.01443362,0.00391928,0.0008526,0.0001449,1.853e-05,1.68e-06,1e-07,0.0,,,,,,,,,,,,
19,0.99954891,0.99526352,0.9759793,0.92134066,0.81206338,0.64814747,0.45691223,0.27933666,0.14615498,0.06476617,0.02407177,0.00742406,0.00187482,0.0003808,6.065e-05,7.29e-06,6.2e-07,3e-08,0.0,,,,,,,,,,,
20,0.99969927,0.99669198,0.98240737,0.93955354,0.84848914,0.70278611,0.52065731,0.33852852,0.19054887,0.09189577,0.03763657,0.0129733,0.00372457,0.00087881,0.00016737,2.508e-05,2.85e-06,2.3e-07,1e-08,0.0,,,,,,,,,,
21,0.99979951,0.99769441,0.98716891,0.95383815,0.87884394,0.75135378,0.58136691,0.39923812,0.23987542,0.12478014,0.05572297,0.02119439,0.00680748,0.00182739,0.00040451,7.251e-05,1.026e-05,1.1e-06,8e-08,0.0,0.0,,,,,,,,,
22,0.99986634,0.99839611,0.99067741,0.9649484,0.90384201,0.7938505,0.6380292,0.45994771,0.29299632,0.16314523,0.07874203,0.03270392,0.01160311,0.00348742,0.00087881,0.00018318,3.101e-05,4.15e-06,4.2e-07,3e-08,0.0,0.0,,,,,,,,
23,0.9999109,0.99888619,0.99325031,0.97352474,0.92421081,0.83051434,0.68996964,0.51930821,0.34864678,0.20642893,0.10687643,0.04804995,0.01863672,0.00619265,0.00174835,0.00041505,8.173e-05,1.31e-05,1.67e-06,1.6e-07,1e-08,0.0,0.0,,,,,,,
24,0.9999406,0.99922776,0.99512894,0.98009993,0.94064879,0.8617465,0.73681787,0.57619535,0.40553393,0.25383488,0.1400606,0.06765878,0.02844113,0.01034067,0.00322978,0.00085948,0.00019284,3.598e-05,5.48e-06,6.6e-07,6e-08,0.0,0.0,0.0,,,,,,
25,0.9999604,0.99946537,0.99649521,0.9851096,0.95379917,0.88804726,0.77846075,0.62973619,0.46242107,0.30440123,0.17798536,0.09179272,0.04151368,0.01637416,0.00560008,0.00164958,0.00041505,8.827e-05,1.565e-05,2.27e-06,2.6e-07,2e-08,0.0,0.0,0.0,,,,,
